ts,queue
0.0,0.0
13.945390453866526,1.0
14.93454241958726,2.0
20.150654557067654,3.0
22.201005924169298,2.0
23.15084277395969,3.0
23.958604852625918,2.0
25.42108553026641,3.0
28.74154923958224,4.0
29.731248526138657,3.0
30.20767483843311,4.0
30.554283670312163,3.0
32.35737055147761,4.0
34.32885762215943,3.0
35.72516862792383,2.0
36.25771186288219,3.0
37.47800651351858,2.0
37.7016523317018,3.0
41.43867248982479,2.0
43.717193068234025,3.0
44.11564496690251,2.0
45.43621363134821,1.0
45.69858102789606,2.0
49.22090456010074,3.0
50.110556351107164,2.0
50.35902258781165,1.0
51.870452867546355,2.0
53.78709354662614,3.0
56.298240467060566,4.0
56.68879078882628,3.0
56.9878192154031,2.0
59.236227224484985,3.0
61.68106637569948,2.0
63.117356123217164,3.0
63.987454402091785,4.0
67.13854039869109,5.0
67.59439073943888,6.0
68.12573265133001,5.0
68.94579879708876,4.0
72.22717765385164,5.0
72.92577246808725,4.0
75.53183905611424,3.0
75.61898431208584,4.0
77.88177012143004,3.0
80.10932744558802,2.0
83.24492557934856,1.0
83.44065032576671,2.0
84.10804411241693,1.0
92.55444496219924,2.0
97.60835309642012,1.0
97.80563087083684,0.0
98.1670809556581,1.0
104.22453187867634,2.0
105.67421897868536,3.0
109.78828266365181,2.0
110.27674752638394,1.0
116.14978235323012,0.0
116.17570904075833,1.0
121.6281134728657,0.0
121.91876759277866,1.0
125.12533241335714,2.0
126.24459370681643,3.0
127.47814758345382,2.0
129.7107263715272,1.0
130.8770544605348,2.0
134.4410907832454,1.0
136.03945948421705,2.0
137.93954163411922,3.0
140.32432558395217,2.0
141.87163034025542,3.0
144.3614064374027,2.0
144.64350973534624,3.0
146.50354953160053,2.0
148.2921429658674,3.0
150.32546209059984,2.0
150.34475640536985,3.0
150.4329822425274,2.0
153.97942282550778,3.0
155.32489748087693,2.0
155.74214899213393,3.0
156.1901302431718,2.0
159.07809828833462,3.0
160.4820155616731,2.0
161.0354977715565,1.0
162.01649034984743,2.0
162.04698469340903,3.0
166.44459060475148,2.0
167.44151451133126,3.0
168.54585598550102,4.0
171.25584524236172,3.0
172.6133038418264,4.0
173.0860510372403,3.0
175.29072110712232,4.0
178.60953983969884,5.0
179.556254691211,6.0
184.12732943946247,5.0
184.14739006494827,6.0
184.2296581353454,7.0
185.22196983927464,6.0
188.90426350570422,5.0
189.51900706178404,6.0
189.57163199537243,5.0
190.32911130334386,6.0
193.7464044274554,7.0
194.4660522538877,6.0
194.65774103943087,7.0
195.23082606742105,6.0
197.7856004175318,7.0
200.46235292028837,6.0
200.91222315549925,5.0
204.32142241784064,4.0
204.5818155428506,5.0
205.47418995292549,6.0
207.2198409058051,5.0
208.76575541777237,4.0
209.26506648264476,5.0
210.56591020306968,4.0
210.8767900518501,5.0
214.67076884978644,6.0
215.08903578048935,5.0
216.15350908020258,4.0
216.8902177044044,5.0
218.99431156114244,6.0
219.6259449669477,5.0
221.84342729051858,4.0
223.43812017383604,5.0
223.96906408888321,4.0
224.66156791191563,5.0
229.2361911137141,4.0
229.49436773999327,5.0
229.81027833845855,4.0
230.09816361423347,5.0
233.30111188413468,6.0
235.1303417189497,5.0
235.2804359201554,4.0
239.773753830084,3.0
240.53739600507967,4.0
241.67141043614296,3.0
242.53377396159163,4.0
245.2702868071262,3.0
246.1554023131586,4.0
247.4756753099114,3.0
247.67418279028257,4.0
250.0171241079458,3.0
253.15345812287586,4.0
253.22342510280845,3.0
254.48968820483904,2.0
257.39211278652584,1.0
257.76190048589973,2.0
258.2997883238254,3.0
261.33573601651426,2.0
262.69754833411673,1.0
263.1056667867395,2.0
267.7607803558541,1.0
269.9457576950171,2.0
271.4533199946432,3.0
273.28617776625424,2.0
275.9285638682122,1.0
276.54179167799515,2.0
277.038658463133,1.0
277.7023301842084,2.0
281.0956461375245,3.0
282.8226137565789,2.0
283.08988105534,3.0
286.767501380954,4.0
287.14069650187605,5.0
287.83587903558254,4.0
287.90009037028466,3.0
292.4713703699775,4.0
292.71625448384845,3.0
292.9865232232039,2.0
293.18394652577405,3.0
296.3265594197736,4.0
298.4504836897206,5.0
298.6282534114712,4.0
300.08751765346386,3.0
301.87304479337837,4.0
303.1787504095028,3.0
303.30839476341026,4.0
306.07035430636626,3.0
307.53695698570243,4.0
308.00995021715744,5.0
308.7522891994842,4.0
311.5650227664583,5.0
312.8130134815406,4.0
313.66268800183235,3.0
314.62793057587197,4.0
317.4385146452699,3.0
318.3027847372423,4.0
318.6446052327479,3.0
322.7893437323701,4.0
323.6824102632632,3.0
324.193212251445,2.0
324.35991620478893,3.0
328.64595741959124,2.0
329.5260019852712,3.0
329.99324702846275,2.0
332.3521600519621,3.0
333.3211454731303,2.0
333.56430532881444,3.0
336.8396791676627,2.0
339.0606208550644,1.0
339.30905788520255,2.0
339.508695002827,3.0
342.0940402701862,2.0
343.8320844545853,3.0
344.9247166199242,4.0
345.1322545567119,3.0
347.89281440315574,2.0
348.6380108549643,1.0
356.31582242704116,2.0
357.27411710411394,3.0
358.8801825661445,2.0
362.20105235885,3.0
363.0903200626048,4.0
363.3397920661954,3.0
363.7235669463321,2.0
366.28564386950103,1.0
367.20441381710026,2.0
369.118100865895,3.0
369.54875590351287,2.0
372.16936808971104,1.0
373.3574414999623,2.0
376.7059699561057,3.0
377.76151598235185,4.0
377.983619841266,3.0
381.56625149996887,2.0
382.45753656615364,3.0
382.776509409982,4.0
383.56192861066654,3.0
386.54542494249245,4.0
387.42119328983733,3.0
387.5264254657325,4.0
389.4407089664391,5.0
389.8315081923666,4.0
392.5787901387522,5.0
394.54392994666443,6.0
396.13845333231404,7.0
396.13893550959125,6.0
398.0473708314101,5.0
400.63652672347735,6.0
401.19489334633056,7.0
401.7418033335316,6.0
402.6910889814826,5.0
404.91683717310957,4.0
406.76096226300155,3.0
406.92023821850495,4.0
407.0544542411852,5.0
409.1355452106638,4.0
410.3683558316292,5.0
410.77770655501274,6.0
411.6494348233135,5.0
413.5453146901846,4.0
414.8939505183965,3.0
417.23436220172067,4.0
417.7086392915061,5.0
417.72553677656606,4.0
421.20537044960855,5.0
421.788523380268,4.0
422.2353824080527,3.0
423.3292436124097,4.0
426.03021083660286,3.0
426.240556470189,4.0
428.32195713760126,3.0
429.8343565009675,4.0
432.0096497228831,3.0
432.29769705133265,4.0
433.58881814473244,3.0
437.00742655978695,4.0
438.0425118831827,3.0
438.29387495807947,4.0
438.968959325434,3.0
441.75707823338263,2.0
442.6165050742492,1.0
443.1628916547728,2.0
444.7000603027744,3.0
447.01544269164856,4.0
447.84961730234033,5.0
452.6294272460515,6.0
452.78865574172903,5.0
453.1923871811092,4.0
453.3725390798387,5.0
455.0465828845104,6.0
458.3065038778971,5.0
459.3712606317682,4.0
461.03930833421265,5.0
461.1131571632215,6.0
463.95252415983623,5.0
464.5549063267621,4.0
466.7345085500849,3.0
467.5781049527769,4.0
468.059838602527,5.0
468.49016802394425,4.0
471.0036917693593,3.0
474.38380824295876,4.0
474.4663409763194,3.0
475.2017948910621,4.0
477.1507465338916,3.0
478.21975154084976,2.0
479.35688617052017,3.0
479.46098370200764,4.0
481.9959647270138,3.0
482.3970160718243,2.0
484.3740440093021,3.0
484.601048548356,4.0
487.83456395315625,3.0
488.110000916219,2.0
488.97122123914716,3.0
489.38618145160734,4.0
493.0580092043119,3.0
493.84503447993256,4.0
494.8073386109002,5.0
495.43810343144844,4.0
497.892877478694,3.0
499.67264065545754,2.0
503.3737954033906,1.0
503.5429024518805,0.0
506.8971091739622,1.0
507.4788515934592,2.0
511.96315629023866,1.0
512.5272462108752,2.0
512.6884335470958,1.0
512.8927461463716,2.0
517.5448252370231,1.0
530.3733621744279,0.0
